"","mid","sec","s","r"
"520",105438,19961280,140,13
"521",105438,19961280,140,138
"522",115263,19972200,139,85
"523",337466,19974900,17,71
"524",337475,20048340,17,71
"525",337475,20048340,17,127
"526",337483,20053800,17,71
"527",337483,20053800,17,127
"528",17776,20069220,140,92
"529",17776,20069220,140,92
"530",105432,20069220,140,92
"531",105432,20069220,140,92
"532",337487,20090040,17,128
"533",337487,20090040,17,71
"534",337487,20090040,17,128
"535",337487,20090040,17,71
"536",337489,20126700,17,127
"537",337489,20126700,17,71
"538",337489,20126700,17,128
"539",337489,20126700,17,71
"540",337489,20126700,17,128
"541",337490,20134560,17,71
"542",337490,20134560,17,127
"543",337491,20135820,17,17
"544",337491,20135820,17,127
"545",337491,20135820,17,17
"546",337491,20135820,17,127
"547",115259,20143680,139,78
"548",115259,20143680,139,78
"549",337494,20145600,17,71
"550",368573,20151600,125,51
"551",358521,20153700,125,125
"552",358521,20153700,125,35
"553",358521,20153700,125,53
"554",358521,20153700,125,143
"555",358521,20153700,125,45
"556",358521,20153700,125,45
"557",337496,20231460,17,71
"558",242719,20566260,29,139
"559",242717,20573040,29,139
"560",242716,20574120,29,139
"561",242716,20574120,29,139
"562",337497,20579460,17,128
"563",337498,20581500,17,128
"564",337498,20581500,17,17
"565",337498,20581500,17,128
"566",337498,20581500,17,17
"567",182271,20584680,126,13
"568",182271,20584680,126,92
"569",182271,20584680,126,92
"570",336669,20599560,17,128
"571",336669,20599560,17,128
"572",242714,20646180,29,130
"573",242714,20646180,29,140
"574",242714,20646180,29,130
"575",242714,20646180,29,140
"576",337500,20652060,17,71
"577",115255,20664000,139,135
"578",115254,20664420,139,135
"579",115254,20664420,139,135
"580",115253,20681160,139,85
"581",242713,20681640,29,139
"582",182262,20737140,126,92
"583",182262,20737140,126,92
"584",54016,20742660,34,45
"585",337502,20761800,17,71
"586",337502,20761800,17,71
"587",383630,20820480,35,99
"588",368591,20852520,125,89
"589",182251,21088020,126,92
"590",105399,21096780,140,126
"591",105399,21096780,140,34
"592",105399,21096780,140,126
"593",105399,21096780,140,34
"594",383644,21105480,35,99
"595",242704,21169500,29,135
"596",242704,21169500,29,78
"597",242704,21169500,29,135
"598",242704,21169500,29,78
"599",242703,21175560,29,135
"600",242703,21175560,29,135
"601",115246,21180420,139,54
"602",105391,21184440,140,132
"603",242702,21187560,29,135
"604",242702,21187560,29,139
"605",242702,21187560,29,139
"606",54012,21190860,34,45
"607",125380,21190860,34,45
"608",242699,21251940,29,135
"609",242699,21251940,29,139
"610",242699,21251940,29,139
"611",383654,21254880,35,99
"612",237685,21268380,44,66
"613",337520,21268440,17,71
"614",337520,21268440,17,128
"615",337520,21268440,17,71
"616",337520,21268440,17,128
"617",105386,21274320,140,132
"618",105386,21274320,140,34
"619",105386,21274320,140,132
"620",105386,21274320,140,34
"621",337524,21276900,17,127
"622",337524,21276900,17,145
"623",242697,21277500,29,139
"624",242696,21284220,29,130
"625",242696,21284220,29,139
"626",242696,21284220,29,139
"627",337526,21288240,17,71
"628",337532,21290280,17,71
"629",337532,21290280,17,71
"630",242695,21338760,29,135
"631",242695,21338760,29,139
"632",182234,21342180,126,138
"633",182235,21342180,126,138
"634",182233,21343440,126,138
"635",182233,21343440,126,92
"636",182233,21343440,126,138
"637",182233,21343440,126,92
"638",182231,21348240,126,138
"639",105383,21349260,140,92
"640",105383,21349260,140,126
"641",105383,21349260,140,13
"642",105383,21349260,140,138
"643",105382,21350040,140,138
"644",105382,21350040,140,92
"645",383659,21362340,35,99
"646",115240,21427920,139,29
"647",242693,21437760,29,139
"648",182227,21453300,126,13
"649",182226,21686460,126,140
"650",182226,21686460,126,140
"651",105377,21690780,140,108
"652",337539,21691020,17,71
"653",242689,21713160,29,139
"654",105375,21713760,140,132
"655",105375,21713760,140,34
"656",182220,21769620,126,138
"657",182220,21769620,126,92
"658",105372,21780120,140,126
"659",105371,21786600,140,92
"660",105371,21786600,140,126
"661",105371,21786600,140,13
"662",105371,21786600,140,138
"663",17814,21799800,89,89
"664",105365,21802680,140,126
"665",105365,21802680,140,126
"666",105364,21874740,140,67
"667",105364,21874740,140,108
"668",182211,21947100,126,13
"669",337554,21985440,17,71
"670",337554,21985440,17,17
"671",337554,21985440,17,17
"672",337560,21989520,17,71
"673",337560,21989520,17,128
"674",337560,21989520,17,71
"675",337560,21989520,17,128
"676",182207,22038600,126,92
"677",182207,22038600,126,92
"678",337563,22136760,17,71
"679",337566,22165680,17,17
"680",337577,22289100,17,71
"681",182202,22291080,126,92
"682",242678,22303620,29,139
"683",242677,22303920,29,130
"684",242676,22314060,29,139
"685",34084,22372980,98,117
"686",242672,22375620,29,139
"687",182198,22376160,126,13
"688",182198,22376160,126,138
"689",182198,22376160,126,92
"690",182198,22376160,126,140
"691",182197,22376340,126,92
"692",105347,22385580,140,126
"693",105346,22385760,140,132
"694",105346,22385760,140,34
"695",242668,22390500,29,139
"696",242668,22390500,29,139
"697",242667,22390680,29,139
"698",242667,22390680,29,139
"699",115227,22391820,139,29
"700",53991,22403280,34,45
"701",383683,22463820,35,99
"702",182194,22464840,126,138
"703",182194,22464840,126,92
"704",182191,22479660,126,138
"705",105341,22481820,140,132
"706",105340,22484100,140,132
"707",105339,22488720,140,92
"708",105339,22488720,140,126
"709",105339,22488720,140,13
"710",105339,22488720,140,138
"711",290997,22490400,125,73
"712",368617,22490400,125,73
"713",337601,22490460,17,128
"714",337601,22490460,17,128
"715",242666,22553880,29,139
"716",242666,22553880,29,135
"717",242666,22553880,29,139
"718",242666,22553880,29,135
"719",105333,22558080,140,92
"720",105333,22558080,140,126
"721",105333,22558080,140,13
"722",105333,22558080,140,138
"723",105333,22558080,140,92
"724",105333,22558080,140,126
"725",105333,22558080,140,13
"726",105333,22558080,140,138
"727",113211,22561800,56,46
"728",113211,22561800,56,18
"729",400585,22561800,56,46
"730",400585,22561800,56,18
"731",237662,22564860,44,44
"732",182184,22565460,126,140
"733",237661,22568640,44,58
"734",242663,22635720,29,135
"735",242663,22635720,29,78
"736",337615,22637460,17,127
"737",242661,22640280,29,139
"738",182181,22642860,126,138
"739",105327,22643940,140,67
"740",105327,22643940,140,108
"741",182178,22662600,126,92
"742",182178,22662600,126,92
"743",182177,22662780,126,92
"744",12448,22896180,126,13
"745",182175,22896180,126,13
"746",337626,22904400,17,128
"747",337626,22904400,17,3
"748",337626,22904400,17,127
"749",182173,22905180,126,92
"750",182173,22905180,126,92
"751",182172,22910100,126,13
"752",383698,22914420,35,99
"753",242660,22914960,29,135
"754",242660,22914960,29,78
"755",242660,22914960,29,139
"756",242660,22914960,29,135
"757",242660,22914960,29,78
"758",242660,22914960,29,139
"759",242659,22915740,29,139
"760",242659,22915740,29,139
"761",344035,22918140,17,71
"762",337631,22919640,17,71
"763",242657,22926420,29,139
"764",242657,22926420,29,139
"765",242656,22926660,29,139
"766",34087,22983180,98,117
"767",34087,22983180,98,117
"768",242653,22997520,29,135
"769",242653,22997520,29,135
"770",115217,22998600,139,85
"771",383707,23008680,35,99
"772",347793,23011920,17,17
"773",347793,23011920,17,17
"774",182154,23081160,126,138
"775",182154,23081160,126,92
"776",182154,23081160,126,140
"777",242652,23088840,29,130
"778",383712,23090880,35,99
"779",182150,23093040,126,138
"780",182150,23093040,126,92
"781",368621,23101440,125,45
"782",368621,23101440,125,87
"783",368621,23101440,125,87
"784",242650,23152620,29,78
"785",242650,23152620,29,78
"786",242647,23171580,29,139
"787",242645,23177880,29,78
"788",105296,23244420,140,126
"789",105295,23244840,140,92
"790",105295,23244840,140,92
"791",242643,23246160,29,139
"792",242643,23246160,29,135
"793",242643,23246160,29,78
"794",242643,23246160,29,135
"795",242643,23246160,29,78
"796",383714,23246220,35,139
"797",115216,23247660,139,29
"798",242641,23248080,29,139
"799",105288,23266920,140,89
"800",182146,23498820,126,140
"801",182145,23499180,126,138
"802",182145,23499180,126,92
"803",182144,23503620,126,138
"804",344039,23505000,71,17
"805",242636,23510160,29,139
"806",12424,23533500,13,89
"807",105281,23586360,140,92
"808",105281,23586360,140,92
"809",12422,23595480,13,89
"810",12421,23603100,13,89
"811",344044,23690820,17,17
"812",344044,23690820,17,128
"813",344044,23690820,17,128
"814",115213,23700000,139,135
"815",242628,23767320,29,135
"816",383733,23782500,35,99
"817",242622,23862000,29,139
"818",182123,23864220,126,92
"819",105267,23867460,140,92
"820",105267,23867460,140,126
"821",105267,23867460,140,13
"822",105267,23867460,140,138
"823",12406,23874600,89,45
"824",12406,23874600,89,87
"825",12406,23874600,89,87
"826",182118,24121440,126,138
"827",182117,24121560,126,92
"828",182114,24124020,126,140
"829",105261,24126780,140,13
"830",182113,24127440,126,92
"831",105257,24192600,140,92
"832",105257,24192600,140,126
"833",105257,24192600,140,13
"834",105257,24192600,140,138
"835",105257,24192600,140,132
"836",182107,24200340,126,13
"837",237645,24210840,44,139
"838",362772,24211560,16,68
"839",105253,24220560,140,13
"840",115210,24221880,139,135
"841",115210,24221880,139,135
"842",105252,24277020,140,13
"843",242617,24281520,29,139
"844",242617,24281520,29,139
"845",105247,24303660,140,13
"846",105247,24303660,140,13
"847",115209,24377940,139,85
"848",105242,24380460,140,13
"849",105242,24380460,140,13
"850",105241,24383160,140,132
"851",105233,24467880,140,13
"852",337665,24544740,17,71
"853",337665,24544740,17,71
"854",242610,24751320,29,139
"855",337673,24789000,17,128
"856",182089,24794880,126,13
"857",182089,24794880,126,138
"858",182089,24794880,126,92
"859",182089,24794880,126,140
"860",17867,24796680,89,45
"861",17867,24796680,89,87
"862",17867,24796680,89,87
"863",337678,24799200,17,128
"864",182087,24800340,126,138
"865",237636,24807540,44,139
"866",237636,24807540,44,29
"867",115206,24827520,139,135
"868",115206,24827520,139,78
"869",115206,24827520,139,78
"870",337683,24880920,17,128
"871",337683,24880920,17,128
"872",115205,24881100,139,135
"873",115205,24881100,139,78
"874",120313,24907860,130,90
"875",120313,24907860,130,130
"876",120313,24907860,130,29
"877",120313,24907860,130,122
"878",120313,24907860,130,133
"879",120313,24907860,130,142
"880",120313,24907860,130,139
"881",111482,24971340,92,140
"882",105217,24986160,140,92
"883",53959,24988140,34,117
"884",105214,25053300,140,92
"885",105214,25053300,140,126
"886",105214,25053300,140,13
"887",105214,25053300,140,138
"888",242604,25071600,29,139
"889",115203,25072980,139,29
"890",242602,25074600,29,90
"891",242601,25082520,29,135
"892",242601,25082520,29,78
"893",242601,25082520,29,139
"894",242600,25083120,29,135
"895",242600,25083120,29,78
"896",242599,25083840,29,135
"897",242599,25083840,29,139
"898",242599,25083840,29,78
"899",242599,25083840,29,135
"900",242599,25083840,29,139
"901",242599,25083840,29,78
"902",383767,25323720,35,99
"903",12309,25325040,13,92
"904",12309,25325040,13,138
"905",12309,25325040,13,140
"906",12309,25325040,13,126
"907",12309,25325040,13,126
"908",102190,25325040,13,92
"909",102190,25325040,13,138
"910",102190,25325040,13,140
"911",102190,25325040,13,126
"912",102190,25325040,13,126
"913",17838,25332240,140,13
"914",17838,25332240,140,89
"915",17838,25332240,140,13
"916",17838,25332240,140,89
"917",105209,25332240,140,13
"918",105209,25332240,140,89
"919",105209,25332240,140,13
"920",105209,25332240,140,89
"921",182061,25339380,126,13
"922",344046,25343940,71,17
"923",12304,25346580,89,45
"924",12304,25346580,89,87
"925",12304,25346580,89,68
"926",12304,25346580,89,128
"927",12304,25346580,89,64
"928",12304,25346580,89,114
"929",12304,25346580,89,46
"930",12303,25347000,89,89
"931",337698,25399020,17,71
"932",337698,25399020,17,127
"933",242596,25403640,29,135
"934",242596,25403640,29,139
"935",242596,25403640,29,85
"936",242596,25403640,29,78
"937",242596,25403640,29,135
"938",242596,25403640,29,139
"939",242596,25403640,29,85
"940",242596,25403640,29,78
"941",186901,25408320,138,126
"942",242591,25416240,29,135
"943",242591,25416240,29,78
"944",182054,25419660,126,138
"945",182053,25419960,126,92
"946",368660,25423500,125,45
"947",368660,25423500,125,87
"948",368660,25423500,125,87
"949",337709,25483680,17,17
"950",337709,25483680,17,17
"951",337710,25483920,17,128
"952",337711,25485900,17,128
"953",120624,25494840,130,90
"954",120624,25494840,130,130
"955",120624,25494840,130,29
"956",120624,25494840,130,135
"957",120624,25494840,130,122
"958",120624,25494840,130,133
"959",120624,25494840,130,142
"960",120624,25494840,130,139
"961",115200,25512960,139,85
"962",115200,25512960,139,135
"963",115200,25512960,139,135
"964",105199,25518600,140,92
"965",105199,25518600,140,126
"966",105199,25518600,140,13
"967",105199,25518600,140,138
"968",115199,25590300,139,135
"969",115199,25590300,139,78
"970",115199,25590300,139,85
"971",115199,25590300,139,135
"972",115199,25590300,139,78
"973",115199,25590300,139,85
"974",337725,25592340,17,71
"975",337725,25592340,17,127
"976",105195,25593180,140,13
"977",105195,25593180,140,13
"978",337727,25594860,17,128
"979",105189,25660560,140,67
"980",105189,25660560,140,67
"981",105188,25675320,140,67
"982",105188,25675320,140,21
"983",105188,25675320,140,108
"984",105188,25675320,140,92
"985",105188,25675320,140,92
"986",347865,25911660,128,17
"987",337742,25914120,17,79
"988",182042,25922460,126,138
"989",186516,25927080,138,126
"990",186516,25927080,138,13
"991",186517,25928040,138,126
"992",115197,25928160,139,85
"993",115197,25928160,139,135
"994",115197,25928160,139,78
"995",12251,25931100,13,92
"996",12250,25931520,13,138
"997",12250,25931520,13,126
"998",12250,25931520,13,92
